,distribution,bed_amount,denied,covid_denied,waiting_time,occupancy,admissioned,failed_reschedules,succesful_reschedules
204,"[4, 5, 7, 9, 13, 5]",38,978,377,26976,72.00162220620044,4371,20,298
205,"[4, 5, 7, 9, 13, 5]",43,1096,1323,26412,48.99251353934374,3710,31,249
206,"[4, 5, 7, 10, 12, 5]",38,907,334,15564,66.29506128334535,4333,6,240
207,"[4, 5, 7, 10, 12, 5]",43,999,1330,24552,48.712965912711056,3933,15,316
208,"[4, 5, 7, 11, 11, 5]",38,1065,462,26268,67.04037490987743,4124,23,270
209,"[4, 5, 7, 11, 11, 5]",43,1042,1364,21816,49.31188276521185,3864,10,325
210,"[4, 5, 7, 12, 10, 5]",38,1008,555,26148,65.46052631578947,4270,17,329
211,"[4, 5, 7, 12, 10, 5]",43,923,1282,19542,49.47116916215355,3938,15,247
212,"[4, 5, 8, 4, 17, 5]",38,1077,159,25320,75.4902667627974,4499,20,236
213,"[4, 5, 8, 4, 17, 5]",43,1158,1297,28014,47.104969735584575,3756,35,246
214,"[4, 5, 8, 5, 16, 5]",38,1005,142,23556,74.26820475847153,4679,25,227
215,"[4, 5, 8, 5, 16, 5]",43,1139,1336,24612,48.31634278432622,3753,23,224
216,"[4, 5, 8, 6, 15, 5]",38,972,290,17262,75.76604181687094,4590,11,194
217,"[4, 5, 8, 6, 15, 5]",43,850,1301,12366,47.805829882128066,3871,8,176
218,"[4, 5, 8, 7, 14, 5]",38,1037,261,24936,73.75,4580,12,280
219,"[4, 5, 8, 7, 14, 5]",43,684,1294,8628,46.33959859827971,4110,2,152
220,"[4, 5, 8, 8, 13, 5]",38,1073,329,27840,72.16925018024514,4379,42,179
221,"[4, 5, 8, 8, 13, 5]",43,998,1367,24432,49.18604651162791,3859,32,178
222,"[4, 5, 8, 9, 12, 5]",38,797,425,16464,71.60868781542898,4476,15,199
223,"[4, 5, 8, 9, 12, 5]",43,860,1335,15192,47.466549856642246,4002,13,169
224,"[4, 5, 8, 10, 11, 5]",38,1004,448,18828,67.41888968997837,4392,18,174
225,"[4, 5, 8, 10, 11, 5]",43,1031,1358,23376,49.158171392163105,3931,31,191
226,"[4, 5, 8, 11, 10, 5]",38,915,549,21918,67.10796683489546,4254,27,160
227,"[4, 5, 8, 11, 10, 5]",43,792,1287,14694,47.89264096846129,3987,12,146
228,"[4, 5, 9, 4, 16, 5]",38,897,148,19080,73.48323720259553,4742,17,144
229,"[4, 5, 9, 4, 16, 5]",43,989,1278,27852,46.69082510353616,3916,40,140
230,"[4, 5, 9, 5, 15, 5]",38,1075,168,19620,74.07173756308579,4583,15,161
231,"[4, 5, 9, 5, 15, 5]",43,1023,1312,16440,48.208028034405864,3734,11,120
232,"[4, 5, 9, 6, 14, 5]",38,1026,331,24588,74.5611031002163,4439,35,134
233,"[4, 5, 9, 6, 14, 5]",43,949,1382,20544,47.848837209302324,3844,29,112
234,"[4, 5, 9, 7, 13, 5]",38,825,323,13752,72.70638067772171,4685,9,144
235,"[4, 5, 9, 7, 13, 5]",43,908,1281,15720,49.18206435170436,3952,19,121
236,"[4, 5, 9, 8, 12, 5]",38,904,375,18390,71.37977649603461,4430,23,110
237,"[4, 5, 9, 8, 12, 5]",43,764,1279,10314,49.620101943294046,4163,4,94
238,"[4, 5, 9, 9, 11, 5]",38,871,436,21834,68.87797404470079,4406,36,92
239,"[4, 5, 9, 9, 11, 5]",43,988,1354,23514,48.498725708824466,3874,40,92
240,"[4, 5, 9, 10, 10, 5]",38,812,539,15240,66.40951694304253,4478,10,127
241,"[4, 5, 9, 10, 10, 5]",43,765,1418,20712,47.912551768079005,3957,24,125
242,"[4, 5, 10, 4, 15, 5]",38,903,305,13680,74.58723864455659,4710,6,149
243,"[4, 5, 10, 4, 15, 5]",43,990,1335,23616,47.37257088244664,3881,23,120
244,"[4, 5, 10, 5, 14, 5]",38,807,325,9066,72.97945205479452,4652,4,96
245,"[4, 5, 10, 5, 14, 5]",43,881,1396,14604,48.483593501115,3981,12,106
246,"[4, 5, 10, 6, 13, 5]",38,876,323,22344,72.11247296322999,4603,34,82
247,"[4, 5, 10, 6, 13, 5]",43,801,1422,13176,48.302803440586175,3993,10,101
248,"[4, 5, 10, 7, 12, 5]",38,657,366,8058,68.28947368421052,4635,0,107
249,"[4, 5, 10, 7, 12, 5]",43,886,1303,20904,48.39280025485824,3931,33,76
250,"[4, 5, 10, 8, 11, 5]",38,717,442,6810,66.48792357606345,4528,3,83
251,"[4, 5, 10, 8, 11, 5]",43,784,1351,17616,49.23622172666454,4143,17,108
252,"[4, 5, 10, 9, 10, 5]",38,710,468,6660,65.10093727469358,4411,2,81
253,"[4, 5, 10, 9, 10, 5]",43,758,1299,14184,48.40633959859828,3998,14,84
254,"[4, 5, 11, 4, 14, 5]",38,730,219,11232,70.57408074981976,4716,4,122
255,"[4, 5, 11, 4, 14, 5]",43,886,1318,12846,47.27779547626633,4066,11,107
256,"[4, 5, 11, 5, 13, 5]",38,993,342,31974,71.1481614996395,4432,60,56
257,"[4, 5, 11, 5, 13, 5]",43,881,1309,22734,48.12918126791972,3951,25,88
258,"[4, 5, 11, 6, 12, 5]",38,946,335,21576,69.68727469358328,4393,26,84
259,"[4, 5, 11, 6, 12, 5]",43,1065,1341,30600,49.720452373367316,3749,51,75
